column,unique_values,top_values
customerid,20248,CUST000058:5; CUST000048:5; CUST000008:5; CUST000096:5; CUST000095:5
policyeffective_dt,1620,2024-09-06:47; 2023-05-12:46; 2023-01-09:46; 2023-07-16:46; 2025-07-26:45
accounting_month,70,2022-12-31:923; 2021-11-30:890; 2023-09-30:888; 2023-08-31:884; 2025-10-31:883
insureditem_tp,3,Home:31088; Rental:9823; Condo:9089
policyratedstate_tp,5,CA:11153; FL:10981; TX:10821; NY:8678; WA:8367
ratedcounty_tp,4,B:12782; D:12692; A:12327; C:12199
integratedcoverage_tp,2,N:27209; Y:22791
propertycoveragesubtype_tp,3,Standard:23314; Basic:18148; Premium:8538
construction_tp,3,Frame:19678; Masonry:15533; Mixed:14789
roof_tp,3,Shingle:21234; Tile:15812; Metal:12954
creditmodel_cd,4,C:17464; B:15429; A:9917; D:7190
agent_channel,4,Independent:17093; Online:13789; Broker:10258; Direct:8860
new_existing_recurring_flag,3,Existing:21106; New:20248; Recurring:8646
incomebracket,4,Middle:22204; Upper Middle:15774; Low:7664; High:4358
paymentmethod,4,Credit Card:17623; Auto Debit:16358; Bank Transfer:8737; Debit Card:7282
marketingchannel,6,Agent Referral:14150; Online Search:11526; Partner Referral:7804; Social Media:6482; Aggregator:5092
